,predictions,reference
0,"@sarah_pillow's last session of the season. battery-charged, overloaded.",Fuck this economy. I hate aig and their non loan given asses.
1,"@spiling for the late-summer round, you're treated to a bottle of hot chocolate. #followfri",Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
2,"@petercyrus @sarah_dave's last day of the season, with british-stars","dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincent."
3,"@pauldee's last session of the day, with long-shots. &quot;backstreeters, #f","@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
4,"@strangekate, you're stuck with the last round of britches. http://plurk.com/",need suggestions for a good IR filter for my canon 40D ... got some? pls DM
5,@sarahpillow's last session of the season. #failing - http://plurk.com/,omg so bored &amp; my tattoooos are so itchy!! help! aha =)
6,@spiling for the round-up of last night's parlor. drivers are using clogged-pipes.,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
7,"@drewskate's long-lasting, low-calorie recipe for the cup. #followfriday is broken.","Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
8,@strangelover @dazzler for the round-up of last night's rematch. #fbbers,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
9,"@spiling for the day's finale, you're treated to a double-charged battery. #followfri",?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
10,"@spiling for the round-up, late night. #french",On my way to see Star Trek @ The Esquire.
11,"@slowed for the playoffs. session late, thanks",Going to see star trek soon with my dad.
12,"@stacy_drew, waiting for the round-up of 420 followers. #fb",Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
13,"@stranged for the late-summer session. #followfriday , thanks.",omg. The commercials alone on ESPN are going to drive me nuts.
14,@taylors for the last round of the day. spent a long battery-charged battery. #french.,@morind45 Because the twitter api is slow and most client's aren't good.
15,"@drew_paul with the long-sleeve , waiting for @britains to start charging over 140 characters","Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Ui."
16,"@sarah_tila, for the long weekend,'' refueling. #followfriday is broken.",New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
17,"@strange_dave for the round-up. &quot;dedicated battery is dead,'' tweeted.",RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
18,@paulser @drewcyber for the round-up. 'trained' card holders are late.,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
19,@pauldee's last day of training. #fluttering is fine.,needs someone to explain lambda calculus to him! :(
20,"@stranged for the long-winded crowd. 'cause you're stuck with tweetdeck, waiting for #f","NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
