,predictions,reference
0,"a LOT of studs &amp; fans gonna look at me! YES, MUSIC CHECKED",This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.
1,"a man and a woman on a platform at the moment. As a whole, a person is on a platform with their","A woman with a green headscarf, blue shirt and a very big grin. The woman is very happy."
2,hey there i was a lil bitch with my eyelids! http://plurk.com/p/11u,An old man with a package poses in front of an advertisement. A man poses in front of an ad.
3,a lot of things in a moment. a lot of things in a moment. a lot of things in a moment.,A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.
4,A young girl with blue hair walks along a sidewalk in a brightly lit room. A woman is playing with a pink ball on her,A land rover is being driven across a river. A Land Rover is splashing water as it crosses a river.
5,"There are three people standing outside, all holding yellow umbrellas and sunglasses. The back of the men are looking to see what the cameras are.",A land rover is being driven across a river. A vehicle is crossing a river.
6,A man and a woman sitting on a railing. People are near a man and woman.,A man playing an electric guitar on stage. A man playing guitar on stage.
7,A person in a red coat is riding a motorbike with a hill in the background. A man does a trick on his ski,A blond-haired doctor and her African american assistant looking threw new medical manuals. A doctor is looking at a.
8,A woman in a red shirt is talking to a group of four females on a street. A woman is sitting next to a,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat."
9,a runner versus a runner despite their efforts to make a collegiate athletic play . ',A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.
10,"jolly , pumped with excitement and a lot of good old-fashioned humor ...",A couple walk hand in hand down a street. A couple is walking together.
11,"&quot;It's raining, it's so hot and I got blisters on my foot! &quot; The",3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people pose for a picture.
12,"A young woman is riding a bike, with a rope in the background. The woman is going to jump off the side of the road while",3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.
13,oh no! http://plurk.com/p/x2g8z he was inspired by Adam Sandler,A man reads the paper in a bar with green lighting. The man is inside.
14,People with orange hats on from a skateboard. A man with an orange hat is standing in the snow.,Three firefighter come out of subway station. Three firefighters coming up from a subway station.
15,Spectators examining a new era. Spectators examining a new era. Spectators examining,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is."
16,a crowded and a beautiful scene in a downtown area. A crowded and a wonderful scene in a downtown area with the,Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass
17,a h a h a h a h a h a h a h a,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is.
18,Seeing a concert with my mom &amp; a blond girl wishing it was good! http://blip.f,A woman wearing a ball cap squats down to touch the cracked earth. A squatting woman wearing a hat.
19,The black dog is playing soccer in the snow at the beach. There are two people in this picture playing a game with a ladder to fix,Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are on a.
20,a hr a hr a hr a hr a hr a hr,A man standing in front of a building on the phone as two men to the side pain on the side. a guy near a building.
21,a runner a runner a runner a curved line A runner a runner a curved line.,"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Girls are playing outdoors."
22,"oh , he is energized and feeling great . Especially young people whose eyes are bulging",People jump over a mountain crevasse on a rope. People are jumping outside.
23,oh no! http://plurk.com/p/x8z0 remarks to Ehrenreich,A snowboarder on a wide plain of snow A snow field with a snowboarder on it
24,a cigarette and a yellow jacket on a snow covered walkway in a city,An older women tending to a garden. The lady has a garden
25,"a dazzling , absorbing movie with no apparent reason for feeling grotesque , x",A man in a black shirt overlooking bike maintenance. A man watches bike repairs.
26,"An older man, wearing a blue sweater, sitting on the side of a street. Two people are sitting outside, with a drunk man",A man in a black shirt is looking at a bike in a workshop. A man is in a black shirt
27,a hr a hr a hr a hr a hr a hr,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. A person is in a garage.
28,"This is yea, and I'm back to work. Two guys are hugs and kisses, and they are both very",A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. A man repairs bicycles.
29,"hey , i gotta eat a yogurt &amp; i gotta eat a yogurt &amp;","Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward."
30,"a pond , a pond , a pond ... a pond , a pond ...",A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a.
31,oh hey ! i hope you feel better ! &lt;3 http://plurk.com/p,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street."
32,GOING to school with my friends! - http://plurk.com/p/xoz8g - hope everyone,"A dog jumping for a Frisbee in the snow. An animal is outside in the cold weather, playing with a plastic toy."
33,"a great time with people in their communities , with good intentions and at least a thousand others in their country ...",People are conversing at a dining table under a canopy. People are talking underneath a covering.
34,"A few people are walking down the street with a green bike. Two girls are looking at their dogs, they are cats",A girl playing a violin along with a group of people A girl is playing an instrument.
35,", i hope he gets better soon , and i'm a huge fan of anime !",A woman within an orchestra is playing a violin. A woman is playing the violin.
36,i got the top 5 on all of them. i just got the top 5 on all of them. and it hurts. cheerleader,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are."
37,"a tummy ache , a tummy ache , a tummy ache , and a",A Ford car is making a right turn as 3 males are walking across the street behind the car. A car making a right turn had.
38,"hey , i hope you feel better soon ! http://plurk.com/p/x8zf",Three boys in white shirts are walking behind an older model Ford car. there are three boys
39,A couple of young children are lying on top of a very thin blanket. A couple of kids are lying on a couch.,Three boys in white shirts are walking behind an older model Ford car. The boys are on the street
40,"gotta eat ice cream! WOOOOO, i've got 5000 followers! &lt;3",Three girls blow out the candles of a cake made of Peeps. Some people are blowing out candles
41,A man with a hat on is standing on a street. A man with a hat and all of his work done.,Three girls blow out the candles of a cake made of Peeps. There are three girls and a cake
42,Man in white shirt and jeans standing on the sidewalk with a sign in the foreground of a building. Two people are sitting next to,A crowd of people looking up at 3 people on the edge of the roof of a building. The crowd on the ground is watching 3 people on.
43,a man in a black shirt. a is jumped,A woman working long hours. A woman is working.
44,A man in a green shirt walking with a smile on his face. the person is in a car,Two teenage girls conversing next to lockers. People talking next to lockers.
45,"hey , i hope u feel better soon ! http://plurk.com/p/xoz8","Two children, both wearing tan coats, are embracing one another. Two kids are hugging."
46,"hey, i hope you feel better ! http://plurk.com/p/xo2gz ! X",2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. Two kids were hugging.
47,"A man and woman walking in the woods, while a child walks with a backpack on. Two people are sitting in the park with their",A large number of people wearing only white and red are walking on a street. A large number of people walking on a street.
48,A woman crossing a shore with a brown dog. A girl is in the back of a boat.,A guy riding a motorcycle near junk cars A man is riding a motorcycle.
49,"Two men, two with yellow and white bicycles, are walking through the forest. The men are using a yellow and white bicycles","Women of India performing with blue streamers, in beautiful blue costumes. indian women perform together in gorgeous costumes"
50,"Getting ready to see a movie with my mom, Daddy, &amp; Alex! http://blip.fm/",A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. A person is swimming.
51,"hey , i hope u feel better ! &lt;3 http://plurk.com/p/x",The man in the black wetsuit is walking out of the water. a person is walking out of water.
52,A skateboarder in half-steps toward the finish line. A girl is riding in her car.,Five girls and two guys are crossing a overpass. There are people outside.
53,"oh , hey ! http://plurk.com/p/xy2uz ... FUCK",A woman is painting a mural of a woman's face. There is a woman painting.
54,a huddle a huddle a huddle a huddle a huddle a huddle,A couple is eating outside at a table and he is pointing at something. People are eating at a table outside.
55,"hey , i hope you feel better soon ! http://plurk.com/p/xoz2 !",Two women walk down a sidewalk along a busy street in a downtown area. The women were walking downtown
56,"hey , i hope u feel better ! http://blip.fm/7gxo &amp;","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."
57,man on bike it's pouring out this tube A man on bike.,The girls walk down the street. Girls walk down the street.
58,"oh yeah, i cried and cried with my GF! http://plurk.com/p/12x8",A man wearing a red uniform and helmet stands on his motorbike. a person standing.
59,A man with an orange sweater is working in the woods with a group of people. A man is reading a newspaper in the bathtub,A man wearing a red uniform and helmet stands on his motorbike. a man standing on his motorbike.
60,A young man is working on an assembly line at a party. A teenager is trying to get everyone else to do the assembly line as they are,A man of the cloth puts a black substance on a man's forehead. The man puts something on the other mans head.
61,People in the sand on the deck of the bus. The man is not in a sock at the library,A person rolls down a hill riding a wagon as another watches. Two people are outside.
62,hey i gonna see u &amp; u ! http://plurk.com/p/xoz,a boy holding onto the wall of an old brick house's raised foundation. a boy is against the wall of a raised foundation
63,"Oh, hey! I hope you feel better soon! http://plurk.com/p/xo8g ? FU","Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall. Bruce Springsteen is ."
64,", i hope you grew up with humor and warmth ,",Six dogs swimming in a river. Six dogs are outdoors.
65,A man with a backpack sits on the edge of a stone wall overlooking a statue. A man is using a spatul,A man and woman are taking a picture of themselves while a woman in a scarf walks by them. A man and woman take selfies.
66,"the one woman, the two women, the one female and the other, laughing. The only thing missing is the one she's pregnant. She",This church choir sings to the masses as they sing joyous songs from the book at a church. The church has cracks in the ceiling.
67,"a horoscope , a horoscope , a pixel ... http://blip.f","A woman with a green headscarf, blue shirt and a very big grin. The woman is young."
68,"oh, i hope you feel better! &lt;3 http://plurk.com/p/x8z",An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.
69,Trying to find a good movie ! &amp; a good ! http://plurk.com/p/x,A statue at a museum that no seems to be looking at. The statue is offensive and people are mad that it is on display.
70,a man in a black jacket is playing with a rope. the woman looks a picture.,A man playing an electric guitar on stage. A man is performing for cash.
71,"a picture of my beloved dog, a photo of her! http://bit.ly/WrIzB MAGAZINE,",A blond-haired doctor and her African american assistant looking threw new medical manuals. A doctor is studying
72,a lone blond woman laying on the floor with her headphones. a lone blond woman laying on,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat."
73,a twitpic : a twitpic : a twitpic : a twitpic,A young family enjoys feeling ocean waves lap at their feet. A young man and woman take their child to the beach for the first time.
74,"a chilly , ponderous and absorbing look at america 's future",A couple walk hand in hand down a street. The couple is married.
75,im hungry and hungry! http://plurk.com/p/x8zn1 &amp; I hope they stimulate!!,A man reads the paper in a bar with green lighting. The man is reading the sportspage.
76,"a LOT of fun , huh? I hope you feel better ! http://blip.fm/7oz",Three firefighter come out of subway station. Three firefighters putting out a fire inside of a subway station.
77,"A little boy, wearing blue pants, dances on the street, next to a red gate. The guy is sitting down because there are two","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is."
78,"Laughing with my friends! HELP ME, CHECK ME, GET ME, LET ME &lt;3",Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass taking .
79,A view of a football game in front of some very colorful flags. A view of a football game in front of some very colorful flag,During calf roping a cowboy calls off his horse. A first time roper falls off his horse.
80,Achievement &amp; Achievement &amp; Achievement &amp; Achievement &,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is.
81,", i ate ice, i ate ice, i ate ice, and i ripped ice",A woman wearing a ball cap squats down to touch the cracked earth. An archeologist wearing a hat s.
82,a lone blond woman chatting with her friends &amp; a lone blond woman chatting with,Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are building a.
83,"A young woman, in a white shirt, is using a hand-drawn measuring cup to get up at a desk. A man",A man standing in front of a building on the phone as two men to the side pain on the side. a busy man stands with body.
84,"Four children are standing and playing pool, facing away from each other. The three children are having a conversation about swimming and being fed food.","The two young girls are dressed as fairies, and are playing in the leaves outdoors. The two girls play in the Autumn."
85,A young girl in a blue shirt is about to play a board game. The woman is in a professional role for her team,People jump over a mountain crevasse on a rope. Some people look visually afraid to jump.
86,oh yeah i hope it was a great show! http://plurk.com/p/xyz4,A snowboarder on a wide plain of snow A snowboarder gliding over a field of snow
87,"oh, i hate the shit! they were against the swine flu! woohoo",A snowboarder on a wide plain of snow A snowmobile in a blizzard
88,a man with a red collar and a skirt sitting at the edge of his car a bit,An older women tending to a garden. The lady is weeding her garden
89,a lonesome of a movie with its lingering positive energy ? http://blip.fm/,A man in a black shirt overlooking bike maintenance. A man learns bike maintenance.
90,"Laughing with my mom, Daddy, and the rest of us ! http://blip.fm/7g1o",A man in a black shirt is looking at a bike in a workshop. A man is deciding which bike to buy
91,a huddle huddle huddle huddle huddle huddle huddle huddle huddle,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a.
92,"Two small, white and red-haired workers, are using a tool to push something. Two small, plastic workers are using a","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street."
93,"Exhausted, I'm excited to see all of you! http://plurk.com/p/x8zX3 and",A dog jumping for a Frisbee in the snow. A pet is enjoying a game of fetch with his owner.
94,"Laughing, laughing, laughing, laughing, eating, drinking, and playing games with my little boys http://plurk.com/p",People are conversing at a dining table under a canopy. People at a party are seated for dinner on the lawn.
95,a runner carries a water bottle and a horse outside of a building. a woman carries a water bottle and,A girl playing a violin along with a group of people A group of people are playing in a symphony.
96,this is a man in a yellow hoodie and a t-shirt attached to a trench,A woman within an orchestra is playing a violin. A woman is playing a concert.
