,predictions,reference
0,Laughing with my friends! HELP ME NOW! &lt;3 I hope there's lots of new followers,This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.
1,"Trying to find my inspiration for the new album , and it's gonna be interesting! http://plurk.com/p","A woman with a green headscarf, blue shirt and a very big grin. The woman is very happy."
2,a forest trail with a crest above the water holding a rifle. The forest trail has a crest for the rest of the,An old man with a package poses in front of an advertisement. A man poses in front of an ad.
3,"A man in a yellow shirt is standing on the side of a road, next to a car. A boy smiles for his reflection",A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.
4,Activists for the first time in 15 years! Activists for the first time in 15 years! Activists for the,A land rover is being driven across a river. A Land Rover is splashing water as it crosses a river.
5,&quot;Teaching Children at an amusement park! http://bit.ly/p0V9E I hope,A land rover is being driven across a river. A vehicle is crossing a river.
6,"a dazzling , absorbing look at israel 's future and he",A man playing an electric guitar on stage. A man playing guitar on stage.
7,a man in a blue t-shirt taking a picture of a woman in a black outfit. A man and a,A blond-haired doctor and her African american assistant looking threw new medical manuals. A doctor is looking at a.
8,a lot of people on a public transit platform. a lot of people on a public transit platform. a lot of people on,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat."
9,"a ponderous , aesthetically pleasing and aesthetically pleasing to all ages ? HUGE !",A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.
10,"a layered , a layered , and almost a bit of a baseball game .",A couple walk hand in hand down a street. A couple is walking together.
11,Laughing with a smile on her face ! &lt;3 MUSIC GUYS MAGIC !,3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people pose for a picture.
12,hey there ! oh yeah ! &lt;3 I hope u feel better ! http://plurk,3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.
13,", he reveals a lot of chemistry , he deserved  innovative ' vibes",A man reads the paper in a bar with green lighting. The man is inside.
14,A man is on top of a laptop. Someone is on top of a slap mug.,Three firefighter come out of subway station. Three firefighters coming up from a subway station.
15,"oh , oh , oh , this is the weather! http://tinyurl.com/d","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is."
16,"A man is walking down the side of a street, while two other people look on. A dog is being pulled away from a toy",Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass
17,"A man is standing at the corner of a city street while two other boys look on. A man is playing basketball outside, looking at his hand",A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is.
18,"hey , i hope u feel better ! http://blip.fm/7gz0 , i",A woman wearing a ball cap squats down to touch the cracked earth. A squatting woman wearing a hat.
19,Black dog with white collared shirt and sandals standing on a stone path in a wooded area. The dog is wearing the,Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are on a.
20,"Oh, this is a great day! Lots of rain, lots of rain, lots of sunshine, lots of sun...PeaceRo",A man standing in front of a building on the phone as two men to the side pain on the side. a guy near a building.
21,An African American person rides a bike in a dense forest. An irish person rides a bike in a dense forest.,"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Girls are playing outdoors."
22,A man wearing black pants and a scarf is working with a fishing rod. The man is looking at the fish.,People jump over a mountain crevasse on a rope. People are jumping outside.
23,"he was a great actor , but he was influenced by everything he saw and so excited .",A snowboarder on a wide plain of snow A snow field with a snowboarder on it
24,an entertaining and informative examination of the modern urban environment by train tracks and pedestrians. A science seminary,An older women tending to a garden. The lady has a garden
25,", he reveals a great rumination on life , creativity , and culture .",A man in a black shirt overlooking bike maintenance. A man watches bike repairs.
26,A man is kneeling in front of a stone wall while another person walks past her. The woman is taking a picture of a cat,A man in a black shirt is looking at a bike in a workshop. A man is in a black shirt
27,A man is talking to a young woman at the corner of a city street. The man is kissing his two daughters while they are drinking,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. A person is in a garage.
