,predictions,reference
0,"ice skating, with a basketball player and a colorful exterior. ice skating, with a woman and a male",Fuck this economy. I hate aig and their non loan given asses.
1,a liar on the road. a liar on the road. a liar on the road.,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
2,a pond a pond a pond a pond a pond a pond a pond a,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincent."
3,"Just realized that we're off to work today. But oh well, it just reminded me that we can always be a","@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
4,@splcdshr.. it's all ppl.. they'll cancel it? pls,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
5,"@David_Mohlin You don't know it is, but the rest of the sun is gone http://bit.",omg so bored &amp; my tattoooos are so itchy!! help! aha =)
6,Morning all! Welcome to the world of jonas brothers and john korean ... oh dear john,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
7,"@Lisa_Ronzo LOL, but I don't really like graffiti. Damn, how did I get graffiti by myself?","Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
8,@Lia_Teel you're in the sun right now. I miss you. i will be here fort.,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
9,"gonna have a good time. wishing you a nice vacation, and having a good time. Looking for my friends to study tomorrow",?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
10,repairing the theater with a few good ideas and colorful pictures gathered around them,On my way to see Star Trek @ The Esquire.
11,@donut I know. i'm so nervous about this,Going to see star trek soon with my dad.
12,"a dazzling , kinetic energy , and a pronounced sense of humor .",Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
13,"I loved the whole thing, and it was delicious! Everyone loves to put it into the trash. They really liked it",omg. The commercials alone on ESPN are going to drive me nuts.
14,a montage of American Graffiti fans gathered together. a montage of American Graffiti fans gathered,@morind45 Because the twitter api is slow and most client's aren't good.
15,"the first time I was at the harks academy! Now, how did the USSR accept this request? argh!!!! i","Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Ui."
16,"a rumor , a rumor , a rumor , a rumor , an",New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
17,The Farrah Fawcett Loves My Sweetheart!!! Aye. Awesome &amp; sweetheart!,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
18,"h, h, h, h, h, h, and more. homework to do with the rest of us","giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
19,", it was n't a convincing objective to make me .",needs someone to explain lambda calculus to him! :(
20,@mcfly I'm glad to know it was a good day. But i can't sleep anymore. *sigh,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
21,a montage of a concert with a camera lens. a montage of a baseball player expressing warmth and humor,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
22,Trying to get out of the living room. I was really looking forward to seeing this movie.,Damn you North Korea. http://bit.ly/KtMeQ
23,Home! - see all the pictures! Take it apart! http://apple.de,Can we just go ahead and blow North Korea off the map already?
24,Just woke up and I can't believe the blood pressure of the nose is killing me! Not sure if I want to fall back to,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"
25,Having a Psych session &amp; a Psych session. Relaxing with 3 hours of work!,Why the hell is Pelosi in freakin China? and on whose dime?
26,a montage of a baseball game. a montage of a baseball game. a montage of a,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a hand."
27,"a pixel , grotesque satire",insects have infected my spinach plant :(
28,what the earth is to tell you! THE BEST FOOTBALL !,"just got back from church, and I totally hate insects."
29,@tommcfly I hope you get to it! i'll take it back on the same day. oh no worries,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
30,tucking tucking tucking tucking tucking to one person in front of him.,"Higher physics exam tommorow, not lookin forward to it much :("
31,"a pondering , a pondering , and a sense of humor about growing up in american culture ...","It's a bank holiday, yet I'm only out of work now. Exam season sucks:("
32,Getting Ready! Getting Ready! Getting Ready! Stupid Biology Study ... Is Your Heart Feeling Great !,Cheney and Bush are the real culprits - http://fwix.com/article/939496
33,"a crowd of people watching a concert, there is a group of artists working on it, there is a viral video &quot",Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #h.
34,cltv time to change the channel. i dont know what to do right now i get to change the channel on my,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.."
35,on the beach with a party. Aww man! mr. &amp; my friends,is Twitter's connections API broken? Some tweets didn't make it to Twitter...
36,is feeling a bit sad to see Ed Evans coming to the Philippines...I hope it is all going to feel good! xD,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :("
37,"a ponder , a ponder , a ponder , a ponder ... A",jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631
38,", i think a steel is a steel, and all you need to do is offer me a","Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8"
39,a lone blond woman examining a map with a camera. a lone blond woman examines,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50o."
40,a montage of people observing a baseball game. a montage of people observing a baseball game and a,going to see the new night at the museum movie with my family oh boy a three year old in the movies fuin
41,"a montage of ice skating , a montage of ice skating , and lots of flashbacks",Just saw the new Night at the Museum movie...it was...okay...lol 710
42,a smug rumour but not a recipe,Going to see night at the museum 2 with tall boy
43,a pond pond a pond a pond a pond a pond a pond a pond,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Still.
44,", he stepped out of his theater with a certain degree of humor , and",Taking Katie to see Night at the Museum. (she picked it)
45,"All Time Low: Gone, Gone, Gone, Sick, Freezing, Fresh And Im Just Another Amazing 3 hour road trip I",Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL
46,Photo &amp; Photo &amp; Photo on the web http://www.flickr.com/photos/lady,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.
47,I have to do my fav.. i am so tired! and now its time for bed.. :| haha,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha
48,a montage of studs with a colorful exterior and a hippie vibe,Time Warner cable is down again 3rd time since Memorial Day bummer!
49,"@LittlePandah yes, but I haven't seen you in ages. Weds right now. LOL.",NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner
50,"a dazzling , absorbing look at israel 's culture and history .",time warner has the worse customer service ever. I will never use them again
51,"&gt; http://www.youtube.com/user/view/hyd3 , reinstall",Time warner is the devil. Worst possible time for the Internet to go out.
52,"Laughing at me, looking out my window with a bunch of kittens. YES, I stumbled on a LOT",is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!
