,predictions,reference
0,"Getting ready to go back to work! Trying to stay home, Trying to stay home, Trying to stay home, Trying to",stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty.
1,Runners Runners Runners Runners Runners Runners Runners Runners Runners Runners,"a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . "
2,"Laughing with a smile on her face , &amp; a smile on her face! Xoxoxo",it 's a grab bag of genres that do n't add up to a whole lot of sense . 
3,Runner Runner Runner Runner Runner Runner Runner Runner Runner Runner Runner Runner Runner Runner Runner,"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . "
4,a man in a baseball cap is listening to a speaker. a man in a baseball cap listens to a woman in,"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .."
5,"the movie is , as in all , a shrewd , undermining .","the humor is forced and heavy-handed , and occasionally simply unpleasant . "
6,"a h , a h , a h , a h , a funny &quot",not since freddy got fingered has a major release been so painful to sit through . 
7,"Trying to get a beer, a beer, a baseball, and a basketball! Trying to get a new beer,","the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty ."
8,"is good-natured but nothing short of a welcome relief from baltimore nightfalls , for sure",tries to add some spice to its quirky sentiments but the taste is all too familiar . 
9,a ponder of understanding what these people are looking at with a microscope http://bit.ly/UrFj,"at its worst , it implodes in a series of very bad special effects . "
10,is so eager to make a comeback to the ppl who has yet to make it to the espionage stage,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . 
11,"a chilly , fuzzy , absorbing tv movie experience . 'Royalism",when leguizamo finally plugged an irritating character late in the movie . 
12,"Hey there! Getting ready to see my new album, MUSIC! http://plurk.com/p/xo2g","mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . "
13,it 's one of the year 's most loveable films that will give you an even greater sense of what  the east,"an overemphatic , would-be wacky , ultimately tedious sex farce . "
14,the film 's pleasurable perceptibility to single-panese adult life is a complete waste of his wit,another in-your-face wallow in the lower depths made by people who have never sung those blues . 
15,"a fudged film that 's ill-fitting , despite the efforts of filmmakers to clear up a","if director michael dowse only superficially understands his characters , he does n't hold them in."
16,"miss a lot from the recent incarnations of tv , so i 'm not sure letting this happen","outer-space buffs might love this film , but others will find its pleasures intermittent . "
17,chinese and superfluscally made up of all sommy bits and,more whiny downer than corruscating commentary . 
18,"Runners, Cycling, Cycling, Cycling, Swimming, Gymnastics, Radio and TV! NEW MORNING, NEW MORNING, NEW","it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible ."
19,"' ' ' ' ' ' ' ' ' ' , ' ' , &","i do n't mind having my heartstrings pulled , but do n't treat me like a fool .."
20,"if you like a story &amp; a lot of it , you can use this as a base story mode",the movie 's accumulated force still feels like an ugly knot tightening in your stomach . 
21,Exhausted from eating lunch with an aquarium full of colorful balls and high heels. Exhausted from eating with an aquarium full of shoes and boots,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . 
22,an irresistible attempt at deep-seated anger and shamelessly manipulative video games and gear-ups with ease,"one of the more irritating cartoons you will see this , or any , year . "
23,"the story does n't have much depth beyond that of the superficial characters , but it provides an adequate amount of understanding .",i am sorry that i was unable to get the full brunt of the comedy . 
24,oh my God! I got a collage of posters with great pictures and a cool vibe. YES!!,coughs and sputters on its own postmodern conceit . 
25,despite stating that he 's still a heck of a time for fans to finally claim that they deserved it,"trite , banal , cliched , mostly inoffensive . "
26,"a view of two young people looking at a picture of another young man playing a guitar, a view of a musical instrument and","even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure."
27,"'s going to bed, and then I have to put my shoes on for the first time ever!! [Rose] haha",it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . 
28,&quot;the worst thing we could say about this shit is that the small-town giddy and small-town,"some of their jokes work , but most fail miserably and in the end , pumpkin is far more offensive than it is funny ."
29,Seeing a concert with my friends &amp; fans! Xoxoxo Yo!! HUGGGG,so unremittingly awful that labeling it a dog probably constitutes cruelty to canines . 
30,the only way to clear the way for some of the most transformational action flicks so far -- cliches sweeping the entire franchise into,"adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . "
31,", we discover a couple of really twisted characters in a movie .",the problem with this film is that it lacks focus . 
32,",  a human being , a listless act of neo-fail in disguise .",a by-the-numbers patient/doctor pic that covers all the usual ground 
33,"a baseball game with a basketball game, a baseball game with a goalie. a baseball game with a goali",the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work .
34,"a hayfever, a hayfever, a hayfever, A hayfever, A hay","( e ) ventually , every idea in this film is flushed down the latrine of heroism ."
35,&lt;3 saturday morning sunshine and amazing new horizons! FUCK ME MAGAZINE!,"it 's dumb , but more importantly , it 's just not scary . "
36,a triumph of thousands of twitted tragedies .,detox is ultimately a pointless endeavor . 
