,predictions,reference
0,People in a large group of people walking in a city street with a red umbrella. There are a bunch of women in a,This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.
1,A group of people in a subway station with a colorful ribbon around them. People are sitting in a long hallway near a teal,"A woman with a green headscarf, blue shirt and a very big grin. The woman is very happy."
2,A group of people in a subway station with a colorful ribbon around them. A woman sits in a bathtub and waits outside.,An old man with a package poses in front of an advertisement. A man poses in front of an ad.
3,People in a subway station with a group of young people walking past a red curtain. There is a crowd of people in a,A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.
4,A young woman in a blue dress walks through a crowd of people near a construction site. A couple is wearing a towel in,A land rover is being driven across a river. A Land Rover is splashing water as it crosses a river.
5,A woman in a blue shirt walks through a busy street. Some people are in a group of clothes near a tub.,A land rover is being driven across a river. A vehicle is crossing a river.
6,People in a subway station with a large brown bag. A group of people are in a bathtub.,A man playing an electric guitar on stage. A man playing guitar on stage.
7,A woman in a blue t-shirt walks near a large group of people in a city. There is a teal colored,A blond-haired doctor and her African american assistant looking threw new medical manuals. A doctor is looking at a.
8,A woman in a blue t-shirt walks near a group of stores in a busy city. Some people are wearing tight pants and,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat."
9,A woman in a blue sweater walking in a busy city. There is a group of people outside in a bath.,A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.
10,A group of young people in a teal colored dress. There is a group of people outside near a bathtub,A couple walk hand in hand down a street. A couple is walking together.
11,A woman in a blue sweater and a bunch of old clothes walk through a crowd outside. There is a group of people in,3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people pose for a picture.
12,A young woman in a blue sweater and a bunch of pants walk through a busy city. There is a group of people in,3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.
13,People in a subway station with a bunch of green leaves. A group of people are walking in a store.,A man reads the paper in a bar with green lighting. The man is inside.
14,A group of people in a subway station with a pink umbrella walk through a crowd. Some people are outside.,Three firefighter come out of subway station. Three firefighters coming up from a subway station.
15,A group of people in a subway station with a large brown umbrella walk through a crowd. Some people are walking to work in a,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is."
