,predictions,reference
0,mr. britney spears is a serious contender to be more savvy with her b-movie than some,stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty.
1,an unflinching mix of a modern day drama that is nearly as much fun as a school holiday and yet completely lacking in detail,"a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . "
2,"the film 's vapid concept does n't get any sense of the genre , and it 's just saccharine",it 's a grab bag of genres that do n't add up to a whole lot of sense . 
3,"no doubt that michael marshall did n't realize the flaws in this film , even though there were no real","instead of hiding pinocchio from critics , miramax should have hidden it from everyone . "
4,", by the time it comes to oscar-worthy conclusion , some of the things we value most are barney 's","portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .."
5,"the film is not entirely narrative , but it has been written and directed with serious wit and genuine poignancy . '' this is","the humor is forced and heavy-handed , and occasionally simply unpleasant . "
6,the film has finally made it to the top ten in nearly two decades ' unrelenting romantic comedy genre i 've had,not since freddy got fingered has a major release been so painful to sit through . 
7,the laziness of the movie makes you realize the difference between a man and a woman who just doesn't care about the sci-,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty ."
8,"fails to sustain an original tone , but it suffers from bland dialogue and gripping characters that never reach a crisp , nuanced",tries to add some spice to its quirky sentiments but the taste is all too familiar . 
9,"it may be the worst part of its life , when it happens to people who have precocious effects , screams","at its worst , it implodes in a series of very bad special effects . "
10,"will bring you back to the first hand of this unique , breath-in-your-mouth classic wendigo classic , brought together",a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . 
11,the obvious culprits in this case is the unintentional foul-mouthed action sequences of Danny Cushing and Danny Cushing just,when leguizamo finally plugged an irritating character late in the movie . 
12,"it is apparently the sole reason to be suspenseful , but clearly depressingly vague ( and highly unlikely ) sequels are","mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . "
13,"an era-old , a fanciful , unfunny , and overwrought , a","an overemphatic , would-be wacky , ultimately tedious sex farce . "
14,sucks. they don't have the word to go back in london - you should put those words down in the,another in-your-face wallow in the lower depths made by people who have never sung those blues . 
15,dover sarandon 's character does so well to provide the film with all the psychological suspense it reveals .,"if director michael dowse only superficially understands his characters , he does n't hold them in."
16,"the palpable British pubescent flick that 's no doubt worthy of international cinema fans , but it 's also something of the","outer-space buffs might love this film , but others will find its pleasures intermittent . "
17,may be the most depressing film of the year -- which may be why it 's so pro-aging towards the south kore,more whiny downer than corruscating commentary . 
18,"it 's a solid , unabashedly old-fashioned piece of work , as it 's n't","it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible ."
19,"a jimmy , who is n't going to know anything , is a hard-lunch before","i do n't mind having my heartstrings pulled , but do n't treat me like a fool .."
20,"the movie 's most obvious pleasures are the awkwardness of the material , and there 's actually a strong sense of humor",the movie 's accumulated force still feels like an ugly knot tightening in your stomach . 
