,predictions,reference
0,&quot;Albums &amp; High Contrast Diversity &quot; Stunning music !,Fuck this economy. I hate aig and their non loan given asses.
1,"a pondering , a pondering , and a pondering , with its parents.",Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
2,"@Alyssa_Smith - @NatalyssaStewart Definitely. At one point, he","dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincent."
3,it's friday in the morning...i havent woken up to doin this kind of thing for days...I miss,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
4,"@dahlo ah, i have a cuddle in the house. haha. thou what time?",need suggestions for a good IR filter for my canon 40D ... got some? pls DM
5,"a montage , a montage , a montage , a good looking picture of people with their",omg so bored &amp; my tattoooos are so itchy!! help! aha =)
6,a rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
7,if i 'm gonna scream if i fuck if i have my french accents !!,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
8,Trying to find a new home theater with my friends. Trying to find a new music outlet http://tumblr.com,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
9,@JessicaHaylor I don't want to be a douche at all. I have a gift for a,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
10,@Seacrest I'm not sure this will ever be the same without twitter,On my way to see Star Trek @ The Esquire.
11,gratulations to anyone interested in artificiality and improvisation,Going to see star trek soon with my dad.
12,@RoseMarie i'm so glad she is at the house with me. I hate her,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
13,"a distorted view of america , overcoming obstacles and a strong sense of humor .",omg. The commercials alone on ESPN are going to drive me nuts.
14,a r t ok i love the weather .. but i have no idea 4th season starts :P,@morind45 Because the twitter api is slow and most client's aren't good.
15,"Tomorrow is monday morning all alone. Prayers and prayers are always essential, especially if I am not alone. Anti-homicide today","Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Ui."
16,"when was the last day of my birthday? I hope it's okay, he said goodbye to me, what a beautiful day!",New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
17,"a chilly , chilly , chilly ! i wish i had a chance to revitalize my music",RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
18,my hubby had the best night of all time..so idk where to start....and i have no friends,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
19,i'm not smiling at my strawberry monkeys in the jar of icecream,needs someone to explain lambda calculus to him! :(
20,"I felt the feeling was great, but there was nothing wrong with the words that came to mind when I was trapped inside a hotel and had","NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
21,@sexybeans oh yeah I gettin under the hoodie now im lindsayy boo!,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
22,"@taylorswift13 yeah, he's the man who loves us",Damn you North Korea. http://bit.ly/KtMeQ
23,I'm feeling so bad. @davids i don't feel like crap,Can we just go ahead and blow North Korea off the map already?
24,"@davidfrye I'm not the only one out of the world, right?..it's a good night","North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"
25,"Getting ready for school! Motivation, Motivation, Motivation, Motivation & more from the NBA Coaching Team ! â",Why the hell is Pelosi in freakin China? and on whose dime?
26,@jonasbrothers &gt; http://www.youtube.com/userprofile.php &gt;,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a hand."
27,isn't listening to my iPod right now!! KL.,insects have infected my spinach plant :(
28,is at the Olympics! And I'm going to do that..,"just got back from church, and I totally hate insects."
29,a montage a montage a montage a montage of people looking at what they want and what they,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
