,predictions,reference
0,a rocky view of a frozen world with several other people watching and expressing their feelings toward the camera .,Fuck this economy. I hate aig and their non loan given asses.
1,it's got outta here that people aren't even in the recess. someone got out of the recess.,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
2,"a person, somewhere near to the road, on an airplane, looking out of control. A person, somewhere near the road, on an airplane","dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincent."
3,a view of a tennis court with a crowd gathered outside it a view of a baseball racquet with a,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
4,a he is a he is a he is a he is a he is a he is,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
5,@jonasbrothers: Have you ever heard that John Gair is good? Don't have any good tunes or joke,omg so bored &amp; my tattoooos are so itchy!! help! aha =)
6,a rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
7,i love my GIRL @LiamFan!! Lol. of course im in the sand http://twitpic,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
8,a lone blond boy examining something with his eyes closed. a lone blond boy examine something with his,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
9,a huddle a huddle a huddle a huddle a huddle a huddle,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
10,&lt;3 Peace and Peace to my wife and husband I have broadband internet!,On my way to see Star Trek @ The Esquire.
11,"spora stereoscopic fashion world ,",Going to see star trek soon with my dad.
12,sexy tummy squirts from a point. how come you back,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
13,i think i should have a good time with my sun shield :S I forgot its supposed to seal,omg. The commercials alone on ESPN are going to drive me nuts.
14,"a montage of a concert with a smile on its face , a distorted picture of capitalism &amp; capitalism",@morind45 Because the twitter api is slow and most client's aren't good.
15,"a concert with a baseball player, a baseball player, a blond woman, and a blue sweater. a concert","Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Ui."
16,@Danielle i thought I was going to have a glass of wine and it would be the flu. But i think my brothers,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
17,"a pond , a pond , a pond ... with all those colorful slogans coming out of laughter",RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
18,"a lone wolf , a ruffle , a ruffle &amp; something interesting","giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
19,gotta go back to school. and not gonna have no access or contacts.. ROCK!,needs someone to explain lambda calculus to him! :(
20,Getting ready to dance with your kids! http://bit.ly/Cr8Rx thanks for putting me in my shoes! Che,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
21,"Currently at the cinema, I'm not going to finish all of your pictures. Next question is: Where are you from?",New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
22,"a rocky , rocky , and satirical picture of women in outer space .",Damn you North Korea. http://bit.ly/KtMeQ
23,"ice cream is a good movie , but also a refreshing addition to physics",Can we just go ahead and blow North Korea off the map already?
24,a crowded room surrounded by spectators . a crowded room surrounded by people wishing to see the new ZOMG,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"
25,he is a filmmaker with a strong sense of humor and a knack for expressing itself . 'Round,Why the hell is Pelosi in freakin China? and on whose dime?
26,"In a river, in a lake, in a grassy field, and in a dark blue and yellow sand... Hi","Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a hand."
27,it takes you to the edge of your seat we lost a cell phone,insects have infected my spinach plant :(
28,a chemistry between israel and phillip berlin ...,"just got back from church, and I totally hate insects."
29,"@laurenfrey Wolverine will be here in Austin, Texas as soon as we go to meet up grads,","I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
30,"@luvstrf i miss you, and I'm in New York. Farrah.","Higher physics exam tommorow, not lookin forward to it much :("
31,a concert with a baseball player on stage looking at a wall. a concert with a basketball player on stage looking at a,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:("
32,o o o o o o o o o o o o o o Thanks to,Cheney and Bush are the real culprits - http://fwix.com/article/939496
33,"Trying to find a way to eat ice cream with a variety of different types of cereal, ice cream, and other foods",Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #h.
34,a twitpic : a twitpic : a twitpic : a twitpic,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.."
35,a dazzling concert with a rounded eye view of American culture . Stupid jazz music &amp;,is Twitter's connections API broken? Some tweets didn't make it to Twitter...
36,@Seagles I think I am too depressed to be bored anymore. Now I have to call for a new boyfriend!,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :("
37,a ponder with a ponder with a ponder with a baseball game coming up. a ponder,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631
38,a picture of a basketball player examining a baseball game. a picture of a tennis player examining a shit,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8"
39,A concert with no one to look at. A concert with a woman to look at the new logo on it and A concert with a woman,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50o."
40,"Trying to find a new horizon , a ponder of humor , and a broader sense of humor ?",going to see the new night at the museum movie with my family oh boy a three year old in the movies fuin
41,"a crowded theater with a variety of artists , students and fans , demonstrating a sense of humor .",Just saw the new Night at the Museum movie...it was...okay...lol 710
42,"echoes , and tries to reassure viewers .",Going to see night at the museum 2 with tall boy
43,"I'm sooo late to work. It's been a long day, and welcome to the cyn",I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Still.
44,I just want to work outside but I can't stand it anymore because of all the fancy offices,Taking Katie to see Night at the Museum. (she picked it)
45,"@mcfly_sugar No, you can't go for a hug. Best of luck to your friends. X",Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL
46,a rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky rocky,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.
47,@stranged I'll do that for you. Tweeps. Have a good time with my two pairs of cards,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha
48,@DonnieWahlberg Good luck with the packing! Probably will be in Chicago soon though,Time Warner cable is down again 3rd time since Memorial Day bummer!
49,This is what the tiny said on the phone. A tiny with an elma tiny has,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner
50,but its just stupid &lt;3 and i cant keep it true xxxx,time warner has the worse customer service ever. I will never use them again
51,"a chilly , ponderous , aesthetically pleasing film with no chemistry between u and me ?",Time warner is the devil. Worst possible time for the Internet to go out.
52,@davidmcfly haha. I didn't drink any of those in the morning. i had a full day,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!
53,"@luvrdafry I'm not going to the beach tonight, but thanks for having a good time with my friends",Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595.
54,putting a shit on a skateboard! Seeing a shit from youtube,Time Warner Cable slogan: Where calling it a day at 2pm Happens.
55,"a d w a d w a d w a sign that says ""Teaching Children for peace","Rocawear Heads to China, Building 300 Stores - http://tinyurl.com/nofet3"
56,oh i thought there was a tv gonna be a tv at the same time xD I hate,"Three China aerospace giants develop Tianjin Binhai New Area, 22.9 B yuan invested http://bit.ly/."
57,Is there anyone else who can help me please.. and now I'm sappy..love,http://xi.gs/04FO GM CEO: China will continue to be key partner
58,"@David_Felton Oh no, you're not in love with Twilight anymore. You were very sweet when you did it",RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzl.
59,examining a rotten linohole and its underlying humor ... a good movie,Recovering from surgery..wishing @julesrenner was here :(
60,@Tweetizen I'm not on the phone anymore. And i've never been on the phone since I broke it,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?
61,i am sooo jealous! i wish there were more people in this world. Crusade,@kirstiealley my dentist is great but she's expensive...=(
62,"@Melissa_x YES, I'm going to postpone this week. Thanks for the #followf",@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogden.
63,", o ne stoops to the wall. despite the odds and prejudices against us .",NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx
64,@savannah you're welcome! but there are no sexy people in your b-balls ...,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR
65,"a rocky premise , a chilly satire and a surprisingly good yarn",Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.
66,http://twitpic.com/6ql4k I hope you'll find some better ideas today! I just figured i needed,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796
67,"Runner Runner Runner Runner Runner Runner Runner Runner in New York City, USA http://twitpic.com/3",luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked.
68,"a hypnotic , i love you !",Did not realize there is a gym above Safeway!
69,@msgrl yea! I am going to bed now. Have a blast with them all.,"@XPhile1908 I have three words for you: ""Safeway dot com"""
70,i hope my teeth feel good. &lt;3 gotta find some real humor .,Found a safeway. Picking up a few staples.
71,"if you 're feeling like a failure of all things , it forces you to rethink its concept",Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w
72,Checking on Tennis Gallery with @DanteKova !,The safeway bathroom still smells like ass!
73,Just got home from Starbucks...I think it's an interesting idea thanks to Susan Boyle! Sweet dreams LOL,"At safeway on elkhorn, they move like they're dead!"
74,@louise_taylor thanks for the #followfriday pic. It was a good idea. lol.,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O
75,Pratt Jonas @LuvTaylor So this is a Scottie!! How's u on this,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic
76,a montage of people watching a baseball game. a montage of people watching a baseball game. a montag,Launched! http://imgsearch.net #imgsearch #ajax #jquery #webapp
77,Today was amazing. Today was amazing. Tonight was amazing. Today was amazing. &lt;333. NBC News Service.,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/
78,"hey there , in between your attempts at comedy and halloween ... hallelujah thanks",@anna_debenham what was the php jquery hack?
79,"says she is helping her poor sister get better, she is helping her poor, she is helping the poor, she is helping the good-em",jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/
80,a hr a hr a hr a hr a hr a hr,Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e.
81,"etch a flinch , a hysterical move toward the goal?",Warren Buffet on the economy http://ping.fm/Lau0p
82,"@AnthonyGeek anytime you wanna get a hug on Monday, just love it as much as there is a GREAT",Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!
83,a beautiful day :| a beautiful day :| a beautiful sunny day :| http://tinyurl.com,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)
84,.. .. .. .. . . @KelisaFrey I'm here you,"wth..i have never seen a line this loooong at time warner before, ugh."
85,my computer's crashing bad..i'll update later....this is a very slow twilight procession,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon
86,a distorted view of america 's struggle to withstand its harsh reality : bourgeois bourgeois bourgeois bourgeois,Man accosts Roger Federer during French Open http://ff.im/3HCPT
87,just returned from the party and then off to the gym again...next time I want to block out any leftovers,Naive Bayes using EM for Text Classification. Really Frustrating...
88,Getting ready to see Hannah Montana on TV! A Laughing Girl with a Coca-Cola. Stupid Laughing Girl,Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/Lw.
89,"I love the song, and they're such an admirable couple, you have to be very careful to enjoy the song","I'm going to bed. It was a successful weekend. Stanford, here I come."
90,he need to go to the gym. 3 people need to meet the best man in the world. 4 people lost,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.
91,@amandabee LOL! It's so cool that we could hang out with an Aussie actor. Let us !,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU
92,o g o g o g o g o g o g o g o,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having .
93,"@Taylor_Melbourne it's not that bad, hunny. &lt;3","I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money."
94,is bent on reaching the edge of his pockets with a renewed sense of humor and an absorbing new wave of filmmakers pursuing them,Safari 4 is fast :) Even on my shitty AT&amp;T tethering.
95,"@Emily_Stefani I'm in the US, so that's exactly what you were supposed to do? Thanks!","@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T."
96,have a great time with i dont wanna watch 3000 updates. &lt;3,Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc
97,"I wish we could go out to the west coast...smh, daisies, cambers, capers, and free!","Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8"
98,"a chilly , energized , and remarkably satisfying little movie with a noticeable sense of humor .",@mattcutts have google profiles stopped showing up in searches? cant see them anymore
99,I have the perfect 4 hours of sleep/recording my fav Kool button back,The real AIG scandal / http://bit.ly/b82Px
100,"@jennifer I know! It's a big day for me. I should wake up early tomorrow, so I shall be","@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool,."
101,"a pronounced satire of america versus america , with plenty of eye candy",Reading my kindle2... Love it... Lee childs is good read.
