,predictions,reference
0,suffers from lack of humor or even a clumsily written plot that has no point of view as critics mcd,stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty.
1,"the movie is too long , too long , too loud , too goofy and too overwrought to qualify as a masterpiece in","a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . "
2,it does n't have much of a sense of suspense or a plot that does n't fit into the mix,it 's a grab bag of genres that do n't add up to a whole lot of sense . 
3,"is , at times , lacking in character development that should smack of the lunatic he 's not privy to","instead of hiding pinocchio from critics , miramax should have hidden it from everyone . "
4,"the shallowness of the plot is depressing , the tension is shallow , the humor is foul-mouthed , and the","portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .."
5,"is often mean-spirited and unrewardingly unpleasant , but ultimately very easy to enjoy .","the humor is forced and heavy-handed , and occasionally simply unpleasant . "
6,"is a painfully unflinching tale , so distasteful to have been relegated to another film .",not since freddy got fingered has a major release been so painful to sit through . 
7,"when it 's cold to see what the world has turned out to be , it ca n't really make sense when fre","the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty ."
8,the film has some cute moments but it is too hard to let the passions fly and so aggressively poke their cheeks .,tries to add some spice to its quirky sentiments but the taste is all too familiar . 
9,"in its most misogynistic attempts at revenge , this is the first major disaster in a long time .","at its worst , it implodes in a series of very bad special effects . "
10,this is the kind of high art piece that never quite achieves a level of nuance and flatness in all of its characters .,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . 
11,the film tries to avoid a bit of the insipid plot that spielberg rarely appeared .,when leguizamo finally plugged an irritating character late in the movie . 
12,"it is , in its own right , unabashedly insistent and viscerally vapid  glory days ' .","mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . "
13,"an overly-familiar , often hilarious , is way too sloppily written and utterly overwrought","an overemphatic , would-be wacky , ultimately tedious sex farce . "
14,those who have deep-rooted feelings for those who have left them in the dark -- then back to those who do n't care for themselves,another in-your-face wallow in the lower depths made by people who have never sung those blues . 
15,"writer-director douglas caine does n't know what to do with his characters , but it does n't really","if director michael dowse only superficially understands his characters , he does n't hold them in."
16,"this mayhem may be the world's least favorite movie of this or any other , heart-felt romantic comedies .","outer-space buffs might love this film , but others will find its pleasures intermittent . "
17,"treads more of a looser , more somber yarn than chabrol",more whiny downer than corruscating commentary . 
18,"the whole thing is faked by writer-director george tavern , with his tongue-in-cheek attitude","it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible ."
19,", i 'd hate to say this , but i 'm sure you ca n't do anything wrong with","i do n't mind having my heartstrings pulled , but do n't treat me like a fool .."
20,the film feels more like a cold-blooded movie than a satisfying strain of the insipid slack .,the movie 's accumulated force still feels like an ugly knot tightening in your stomach . 
21,the film is often quite disappointing to those who are n't nearly as happy to be allowed to suffer the same fate .,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . 
22,"you may not be in the right mood for anything more than one of the worst movies , or at least a minute .","one of the more irritating cartoons you will see this , or any , year . "
23,"i did n't wish the film was completely out of reach , but the feeling of getting sick of the entire band",i am sorry that i was unable to get the full brunt of the comedy . 
24,suffers from its pretensions and slapstick that never rises above its climax .,coughs and sputters on its own postmodern conceit . 
25,"is sharp , unforced , vulgar , painfully polite , and , worse yet , impersonal .","trite , banal , cliched , mostly inoffensive . "
26,"the occasional sleeveless jokes , as always , keeps me guessing that mr. kennedy","even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure."
27,it does so well to keep the film from being so bad as to much of its rote screwdrivers he ca n't,it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . 
28,"the humor is good , but it also does n't always settle down in favor of the fact that it is rote and poorly","some of their jokes work , but most fail miserably and in the end , pumpkin is far more offensive than it is funny ."
29,it is so damned awful that it simply proves incapable of being so clumsily atmospheric or even horrifying .,so unremittingly awful that labeling it a dog probably constitutes cruelty to canines . 
30,", cliched , poorly crafted film that is frequently depressingly unlikable , then dramatically depressing","adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . "
31,the emotion that this film is lacking in style is what it achieves with the skill of .,the problem with this film is that it lacks focus . 
32,"an all-around low-key , quasi-parody of the typical middle-aged stereotypes the movie does n't",a by-the-numbers patient/doctor pic that covers all the usual ground 
33,"the film does n't know how to be an artist , and it 's also not as well-crafted as the first",the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work .
34,"the film is more of a vampire drama than a body of water , infuriatingly , deeply pertinent to the art of","( e ) ventually , every idea in this film is flushed down the latrine of heroism ."
35,", it 's just weirdness , but it 's also n't really good at all .","it 's dumb , but more importantly , it 's just not scary . "
36,an action sequence is essentially nothing more than a failure .,detox is ultimately a pointless endeavor . 
37,the best part of the film is more than you might expect for a year 's worth of acting lessons or an advance screening of the new,the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . 
38,that it 's a farcical sequel that 's as clever as the farc .,a sequel that 's much too big for its britches . 
39,"a clumsy , profane , grisly , unflinchingly diabolical ,","deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff."
40,"no matter where the lunacy is , it never ends up being murky , nuanced , and mindless .","dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . "
41,"this movie is an insult to the intelligence of british filmmakers , but it 's worth seeing for cheap punctuation","if looking for a thrilling sci-fi cinematic ride , do n't settle for this imposter . "
42,like the most wondrous and funniest animated feature i 've ever seen .,plays like a volatile and overlong w magazine fashion spread . 
43,'s deeply depressing in the face of the complexities of grief and loss and the prospect of survival deepening .,moretti 's compelling anatomy of grief and the difficult process of adapting to loss . 
44,"like the old school kids , this is more devoid of a genre-comedy than a forced slap in the","comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . "
45,"is the most depressing , but it has no real sense of humor , and in some ways , it feels self-indul","it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death ."
46,it does n't deserve to be so poorly compared to the similarly themed crime drama it 's supposed to be .,it 's a bit disappointing that it only manages to be decent instead of dead brilliant . 
47,it has all the excitement of a sitcom popcorn movie .,it has all the excitement of eating oatmeal . 
48,"'s a mediocre , nonsensical comedy that , with the exception of quentin , never quite","it 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't."
49,"it 's no exhilarating , sentimental ones .",there 's no emotional pulse to solaris . 
50,"'s an exhilarating expression , but there 's no doubt that spirit is a catalyst for change , and","although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but."
51,"the film is an all-time low , with the fact that most of the actors in the film are exaggerated , so it","from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie . "
52,"it 's not that we 've seen this movie before , but , in spite of the fact that it 's been","i 've always dreamed of attending cannes , but after seeing this film , it 's not that big ."
53,"the film is nothing special except for some horrifying , unsettled effects and horrible acting .",... nothing scary here except for some awful acting and lame special effects . 
54,"it is a long way from start to finish , but it 's still a fun and sore mess in the end .",but it 's too long and too convoluted and it ends in a muddle . 
55,"the first half of the film is good , since the first half isn't in black .","if the first men in black was money , the second is small change . "
56,"the movie is n't as bad as it thinks it is , despite the fine line from george .",do n't be fooled by the impressive cast list - eye see you is pure junk . 
57,does n't give the film a bad name or reason to consider being a dissapointed .,scorsese does n't give us a character worth giving a damn about . 
58,"the plots are more contrived than anything in the entire movie , which also amounts to little more than plot twists .",the plot convolutions ultimately add up to nothing more than jerking the audience 's chain . 
59,"made the most of an unflinching , in-your-face sort of way than the first half of the long-sle",does little more than play an innocuous game of fill-in - the-blanks with a tragic past . 
60,"the movie is a bit-in-the-fluff from the start , and the film 's progression .",the film 's tone and pacing are off almost from the get-go . 
61,"it 's a very original idea , in its own right , that expresses an ingenious sense of humor .","a broad , melodramatic estrogen opera that 's pretty toxic in its own right . "
62,"a film that 's hardly a lot of fun , most of which are just too shallow to be swept away by","offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm."
63,"is sober and revelatory , as is the storylines , which give rise to a whiny , self-indul","every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency . "
64,"that it is not just the type of movie that deserves a gobbler , but that it does n't have enough substance to","it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is."
65,"is such an understated effort that , instead of being a mere coincidence , fails to provide any insight into his or her future","one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . "
66,"the film , as the characters do n't know the material at all , and the manner in which it is so poorly done is","the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original . "
67,"the film makes an excellent pass for old british filmmakers who find themselves in the midst of this bizarre , forced sle",director uwe boll and the actors provide scant reason to care in this crude '70s throwback . 
68,you feel like a broken half-baked version of this inertia .,i got a headache watching this meaningless downer . 
69,"the film , as well-dressed as the police procedural tapest , seems to know how to make it fright","the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . "
70,"'s a funny , quasi-flinching , quasi-flinching , quasi-pyrotechnic","nonsensical , dull  cyber-horror '' flick is a grim , hollow exercise in flat."
71,"schnitzler 's lackluster performance proves that he 's good enough to be a catalyst for change ,",vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as .
72,the subject matter is pleasant enough to endure for a few hours .,makes for a pretty unpleasant viewing experience . 
73,can't believe we 've never seen anything like this in a millennium story .,like you could n't smell this turkey rotting from miles away . 
74,is so lame that there 's no desire to be disjointed by a hero who ca n't make up,davis ... is so enamored of her own creation that she ca n't see how insufferable the.
75,"an unintentional , self-aware and morally unapologetic , in order to win him .",an unclassifiably awful study in self - and audience-abuse . 
76,the screenplay is not entirely believable .,nervous breakdowns are not entertaining . 
77,", violent , self-indulgent , violent , insanely amusing and conniving .","excessive , profane , packed with cartoonish violence and comic-strip characters . "
78,"the film never recovers to the level of static tension , superb performances in all the shorts .",burns never really harnesses to full effect the energetic cast . 
79,"feels like a horrifying and depressing , somber sense of sadness .",just embarrassment and a vague sense of shame . 
80,the story has too much narrative nuggets and shallow plots to sustain interest .,the piquant story needs more dramatic meat on its bones . 
81,"the film is a plodding , unapologetic movie of aliens and plot .",indifferently implausible popcorn programmer of a movie . 
82,", i 'm sure there 's no denying , he 's a good guy , and","the words ,  frankly , my dear , i do n't give a damn , ' have never."
83,"it 's the kind of movie that goes down the road in the first place , but it 's never quite as bad as the","the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes . "
