,predictions,reference
0,o t g t g t g t g t g t g t g,stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty.
1,"'s a great opportunity to share a fresh perspective , while retaining a shelf 's fashion sense . '","a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . "
2,Hey there! I'm going to the gym with my mom &amp; my boyfriend @Jonasbrothers http://t,it 's a grab bag of genres that do n't add up to a whole lot of sense . 
3,"Here is a show with the best actors in all ages , from a great writer and stylist . There is a show coming","instead of hiding pinocchio from critics , miramax should have hidden it from everyone . "
4,Runners &amp; Track Runners &amp; Track Runners &amp; Track Runners &amp,"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .."
5,hey there! I hope you got a chance to see my new album with @Schultz !,"the humor is forced and heavy-handed , and occasionally simply unpleasant . "
6,"never fails to be the most in-your-funny , but it is precisely how the documentary unfolds and works",not since freddy got fingered has a major release been so painful to sit through . 
7,y y y y y y y y y y y y y y y,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty ."
8,"is looking bored, so i'd rather go to bed now, and found little more than I wanted to see xD",tries to add some spice to its quirky sentiments but the taste is all too familiar . 
9,"Seeing a concert with my friends, YES! http://plurk.com/p/x2oz","at its worst , it implodes in a series of very bad special effects . "
10,a view of the iPod touch in the living room of a man with a baseball glove. a view of the shoes...,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . 
11,a movie with a great soundtrack and a cool vibe. Stupid Kreutz http://plurk.com/,when leguizamo finally plugged an irritating character late in the movie . 
12,"a rough-around the sleeve dutiful idea , a bit exploitative and pretty much a letha","mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . "
13,a moment a moment a moment a moment a moment a moment a moment a smile &gt; http,"an overemphatic , would-be wacky , ultimately tedious sex farce . "
14,"Reading the preview of the album, reading the &quot;You can see the world&quot; album, listening to the &quot;",another in-your-face wallow in the lower depths made by people who have never sung those blues . 
15,"the movie is not just the ugly-looking , but the real-life deft humor of jolts is a list","if director michael dowse only superficially understands his characters , he does n't hold them in."
16,a montage of people observing a game. a montage of people observing a game http://plurk,"outer-space buffs might love this film , but others will find its pleasures intermittent . "
17,"a dazzling , absorbing , incisive study of female friendship",more whiny downer than corruscating commentary . 
18,a pond a pond a pond a pond and a pond with its water. A pond a,"it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible ."
19,wish you could take it any longer to the light-footed theaters of this kind without a major change in the way you want to,"i do n't mind having my heartstrings pulled , but do n't treat me like a fool .."
20,"is an intelligent and funny movie that would have made me want to crawl through this familiar territory , whether it was a comedy or just",the movie 's accumulated force still feels like an ugly knot tightening in your stomach . 
21,"a horoscope , a horoscope , an ice sculpture , with fans everywhere!",at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . 
22,"points to the courage that has been proven in his courageousness , an encouraging new direction , and at times funny moments","one of the more irritating cartoons you will see this , or any , year . "
23,a pond pond pond pond pond pond pond pond pond pond pond pond pond pond,i am sorry that i was unable to get the full brunt of the comedy . 
24,"Stupid horoscope , you'll be able to breathe with its amazingness !",coughs and sputters on its own postmodern conceit . 
25,a motorbike is suspended above water. An a motorbike is suspended above water that is suspended above water. An a motorbike,"trite , banal , cliched , mostly inoffensive . "
26,londal is missing an important event. A londal is missing an important event. londal is missing,"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure."
27,a picture of a baseball player with his eyes closed. a picture of a baseball player with his eyes closed. a picture of,it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . 
28,a sandcastle a sandcastle a sandcastle. A sandcastle a,"some of their jokes work , but most fail miserably and in the end , pumpkin is far more offensive than it is funny ."
29,"the worst of the oh-so-funny situations , in which the human spirit is forced to do the trick",so unremittingly awful that labeling it a dog probably constitutes cruelty to canines . 
30,", there was no mr. kwan to go to the movies . he was the best kwan to go to","adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . "
31,the fact that a lot of things are n't so good .,the problem with this film is that it lacks focus . 
32,a terrific performance from the latest kaufman movie to give us a fair amount of nostalgic chuckles about the next animal,a by-the-numbers patient/doctor pic that covers all the usual ground 
33,Getting ready to see a beautiful picture of a soccer player smiling at the camera. A beautiful picture of a soccer player smiling at the,the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work .
34,"as a result of the astonishing , unblind attempts to paint the picture as if it were taking the courage of an expert to","( e ) ventually , every idea in this film is flushed down the latrine of heroism ."
35,proves that it 's still mildly funny and deftly engrossing .,"it 's dumb , but more importantly , it 's just not scary . "
36,"used to be safe and distasteful , and sloppy",detox is ultimately a pointless endeavor . 
37,"'s a retread , if it were a little preachy , point-and-shoot rather",the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . 
38,there are other than those in this picture whose feelings are generally associated with what we have actually felt .,a sequel that 's much too big for its britches . 
39,", , , , , , , , , , , &amp; ... A","deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff."
40,he is completing a work. There is a lot of work to be done and this is a period of time..,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . "
41,This is a shit. It should be a shit. It should be a shit. I don't,"if looking for a thrilling sci-fi cinematic ride , do n't settle for this imposter . "
42,"the movie is really interesting , and by the way , strange and compelling for all i want",plays like a volatile and overlong w magazine fashion spread . 
43,"a room , a room , a room , and some people. The room is a basketball player http://twit",moretti 's compelling anatomy of grief and the difficult process of adapting to loss . 
44,a solid mix of characters with a certain sense of playful spontaneity and a certain sense of openness that transcends its two main,"comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . "
45,must be out of nowhere to see the Lord of the Rings trying to figure out what it wants to be in front of the Lord of Rings,"it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death ."
46,I am bored with school and watching tv with my mom and her friends http://yfrog.com/5ozj3,it 's a bit disappointing that it only manages to be decent instead of dead brilliant . 
47,'s a little sick and evil to you .,it has all the excitement of eating oatmeal . 
48,"the film is an insult to the intelligence of the characters , and for that matter it does n't offer much in terms of character-","it 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't."
49,"a sense of humor , wit and grande improvisation ,",there 's no emotional pulse to solaris . 
50,http://twitpic.com/6qln - a view of a lake and a view of a lake The view,"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but."
51,"the laker is not just an exhilarating tale , but it has all the flaws that  wo n'","from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie . "
52,two incisive romantic comedy about a widowed widow struggling to figure out dawson gimmicks of domestic dysfunction,"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big ."
53,noticing a distorted picture of people eating yogurt. Those with varying degrees of tolerance toward frozen yogurt are happy,... nothing scary here except for some awful acting and lame special effects . 
54,the film with the kind of intelligence that keeps us guessing for almost every close match of the material in a long time .,but it 's too long and too convoluted and it ends in a muddle . 
55,Trying to find a movie with my eye lens. YES! Stupid Internet Explorer... &lt;3,"if the first men in black was money , the second is small change . "
56,he 's definitely elevated to the level of exuberance and grace that 's made in almost every frame of his story .,do n't be fooled by the impressive cast list - eye see you is pure junk . 
57,Trying to find a good place with my friends ! http://plurk.com/p/xoyz2,scorsese does n't give us a character worth giving a damn about . 
58,"he is watching a movie with its heart and soul. &lt;3 yay, i am loving it!",the plot convolutions ultimately add up to nothing more than jerking the audience 's chain . 
59,"pass the time with a sense of humor that keeps us from looking at a movie 's plot line in a hurry , or",does little more than play an innocuous game of fill-in - the-blanks with a tragic past . 
60,Omg I feel bad at being stabbed by boyfriends head. FOOTBALLBOOTBOOTBOOT HUMB,the film 's tone and pacing are off almost from the get-go . 
61,a d a d a d a d a d a d a d a,"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . "
62,", a thigh , a thigh , a thigh , an thigh , that","offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm."
63,the movie becomes more self-indulgent than the clumsiness of its upcoming hit-and-recipet with the,"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency . "
64,a lone lone lone lone lone lone lone lone lone,"it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is."
65,"a huskie , a huskie, a huskie, an huskie, an huskie, an","one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . "
66,the most depressing piece of crap that could have been a dissapointed by its lackluster plotline and a bit,"the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original . "
67,"an unusually good film with the same kind of wit that was invented for the sake of imagination , not for the acting , but for",director uwe boll and the actors provide scant reason to care in this crude '70s throwback . 
68,"a dazzling , absorbing look at u. &lt;3",i got a headache watching this meaningless downer . 
69,"see this rare movie that allows americans to revel in its absurdity , silliness and fearlessness without resorting to a standard science","the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . "
70,a huddle a huddle a huddle a huddle a huddle a huddle,"nonsensical , dull  cyber-horror '' flick is a grim , hollow exercise in flat."
71,"Greetings from Africa, surrounded by a lot of people, including Adidas, Nike, Adidas, Adidas, and Mazda . MAG",vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as .
72,a pixelated comedy that is grounded in imagination and empathy,makes for a pretty unpleasant viewing experience . 
73,"proves that nachstein and his team members have an enjoyable time , and the screenplay gives you clues",like you could n't smell this turkey rotting from miles away . 
74,"it 's still a great film , with a great story that 's never quite gone without losing its spirit .",davis ... is so enamored of her own creation that she ca n't see how insufferable the.
75,", i know , i cant believe this thing is going to be true , and im not.",an unclassifiably awful study in self - and audience-abuse . 
76,"a stud , gotta put my mind back",nervous breakdowns are not entertaining . 
77,"'s unlikely to be called  cool ' , despite the fact that imam 's first feature is","excessive , profane , packed with cartoonish violence and comic-strip characters . "
78,he got to see his friends at UW! http://tinyurl.com/cr8u,burns never really harnesses to full effect the energetic cast . 
79,you don't get more than those who are 's making ends meet .,just embarrassment and a vague sense of shame . 
80,if a hollywood actor and a lone guru are right there .,the piquant story needs more dramatic meat on its bones . 
81,"the screenplay is not well-conceived , but its logically focused , middle-aged .",indifferently implausible popcorn programmer of a movie . 
82,"Exhausted, driving an adolescent bike, drinking a beer, sparking roar. Stunning soundtrack !","the words ,  frankly , my dear , i do n't give a damn , ' have never."
83,the movie is so old-fashioned and the jokes are n't as funny as john clooney 's latest classic,"the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes . "
84,irish blues fans can see . BBAI people !,"too slow , too long and too little happens . "
85,"thinks it was a totalitarian film , and depressed to feel a movie that has got to be criticized for its","a lackluster , unessential sequel to the classic disney adaptation of j.m. barrie 's peter."
86,a p a p a p a p a p a p a p i,"expect the same-old , lame-old slasher nonsense , just with different scenery . "
87,Trying to find a good baseball pitcher. Trying to get a good baseball! Trying to get a good baseball... Trying,chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama . 
88,forced by a narrative force that has led to the arrest of nearly four year olds in midterms,there 's not enough here to justify the almost two hours . 
89,a seasoned veteran of the ages to bootlegging to the top of her ollie-soaked aisle,there are plot holes big enough for shamu the killer whale to swim through . 
90,'s gonna suck for a bit if they 'll give you a chance to scratch their slack,verbinski implements every hack-artist trick to give us the ooky-spookies . 
91,"waited two weeks and stepped into an ambitious project of dazzling cinematography , improvisation , and professional actors ' work","in all , this is a watchable movie that 's not quite the memorable experience it might have been . "
92,a chemistry between a stud and a catcher ... he looks amazing!,( a ) shapeless blob of desperate entertainment . 
93,"a concert, a concert, a concert, a concert, and a video. A concert is coming up! http://t","in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan ."
94,has gone to the end of the week and got lots of smiles and no more laughs and repeats of her goodness xD,"this is a shameless sham , calculated to cash in on the popularity of its stars . "
95,an unabashedly foul-mouthed stultifying examination of a woman 's pathology that should appeal,"stultifyingly , dumbfoundingly , mind-numbingly bad . "
96,HOURS &amp; HOURS &amp; HOURS &amp; SL &amp; SL,"because of an unnecessary and clumsy last scene ,  swimfan ' left me with a very bad feeling .."
97,"a dazzling , albeit flawed , look at U.S. culture",no aspirations to social import inform the movie version . 
98,a t a t a t a t a t a t a t a,"sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for."
99,a ponder bowling a ponder bowling a ponder bowling a ponder bowling a,"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 00."
100,i 'm gonna cry . i gotta sleep . i gotta laugh &lt;3 alex,"if you can stomach the rough content , it 's worth checking out for the performances alone . "
101,"a dazzling , albeit flawed , look at a microcosm of faith .",the best film about baseball to hit theaters since field of dreams . 
102,"oh yeah, that's the reason why people keep saying something about you. http://plurk.com/p/x8",it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . 
103,a t a t a t a t a t a ta. the t,"awesome creatures , breathtaking scenery , and epic battle scenes add up to another  spectacular spectacle . ' "
104,fails to set the tone for an adolescent who has no place to go,a painfully funny ode to bad behavior . 
105,a shab a shab a shab a shab a shab a shab,"liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas."
106,"a ludicrous feeling , a pronounced humor , and a great ensemble performance ...",a beguiling splash of pastel colors and prankish comedy from disney . 
107,'s a whole lot of brainpower you 'd expect from a film like this to be made .,"it proves quite compelling as an intense , brooding character study . "
108,", a horde , a frightful , ferocity , is this film.",the chateau cleverly probes the cross-cultural differences between gauls and yanks . 
109,"'s a sweet , sexy ride to a certain teen genre , and it 's definitely a",broomfield turns his distinctive  blundering ' style into something that could really help clear up the case . 
110,"Trying to get a job interview , gotta win a scholarship , and lots of cool humor ! http://bit.ly",if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you . 
111,a tumbling tumbling tumbling tumbling tumbling tumbling tumbling tumbling tumbling,"there is a fabric of complex ideas here , and feelings that profoundly deepen them . "
112,i cried a lil a a a toy. i have been trying for all my life. a,"a swashbuckling tale of love , betrayal , revenge and above all , faith . "
113,hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey,"for movie lovers as well as opera lovers , tosca is a real treat . "
114,is definitely a satisfying 100 points to be able to its subjects .,"the film is quiet , threatening and unforgettable . "
115,"Trying to find a good place with his eyes , he is concentrating on something with his eyes , &amp;", easily my choice for one of the year 's best films . ' 
116,an engrossing portrait of brian sandler 's maternal instincts,there has always been something likable about the marquis de sade . 
117,does n't understand a statute requiring a person to act as if it were using a sledgehammer to,"for the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions."
118,"the film suffers from too many leaning , self-aggrandizing lunacy and poor cinematography .",we have n't seen such hilarity since say it is n't so ! 
119,"@DavidArchie Cool, cool, innovative and sexy rapper Drake Farrah Davis","a warm but realistic meditation on friendship , family and affection . "
120,"a pause , a pause , a pause , a pause , an ice sculpture.",it 's a remarkably solid and subtly satirical tour de force . 
121,"gets rid of its plot contrivances , leaving us with a sense of mystery and an unflinching sense of revenge",director andrew niccol ... demonstrates a wry understanding of the quirks of fame . 
122,"the most beautiful film of the past , not least because it recognizes the importance of human behavior in the face of this unique situation .","thekids will probably stay amused at the kaleidoscope of big , colorful characters . "
123,"hey , i gotta ponder a little more chemistry between its stars","a very well-made , funny and entertaining picture . "
124,", if i was a good actor , i would have liked it better than a smart-aleck comedy with","it 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children ."
125,should have been the best cheesiest band in the entire week with me hahah everyone is complaining about this,"despite its title , punch-drunk love is never heavy-handed . "
126,", i 'm sure there 's a lot to do , most of the time starring jack d.",it 's refreshing to see a girl-power movie that does n't feel it has to prove anything . 
127,it never bothers to put up with the awful acting of the actors in troubled-by-sea movies trying to make them,zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . 
