,predictions,reference
0,"i'm ya, but i'm not happy. and then I have to go shopping...",Fuck this economy. I hate aig and their non loan given asses.
1,my blood is sore...sucks! Wheeps! Sucks!!!!! I was awake this morning &lt;,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
2,I want to be in GONNA'S NICE!!!!!! What's up? &quot;Official Day 2 of,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincent."
3,a runner a runner a runner a catcher a runner a lone horn. a,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
4,It's raining in the oh and it's raining. What a good day...I have to go!,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
5,"a room occupied by two boys, with their shoes on. The room occupied by two brothers, with shoes on. The room occupied",omg so bored &amp; my tattoooos are so itchy!! help! aha =)
6,"oh, i was very sick. But I didn't respond. It was so hot. I did not want it.","@sekseemess no. I'm not itchy for now. Maybe later, lol."
7,"An empty city street, an empty city street, with a lot of food and beverages. An empty city street, an empty city street with food","Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
8,a jogging jogging a jogging jogging a jogging a good time,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
9,"Man, I feel like a lot better now. FML. Im gonna watch the new movie Ghostbusters 2day. LMAO",?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
10,"a dazzling , absorbing movie experience geared toward all ages and",On my way to see Star Trek @ The Esquire.
11,That's not good for me. Hope he gets better soon,Going to see star trek soon with my dad.
12,what did I say? ah. I'm sorry. I have no money to make it btw,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
13,"a chilly , pathetic , pathetic , pathetic ... with a degree of integrity",omg. The commercials alone on ESPN are going to drive me nuts.
14,@nobuh I don't know how to sleep.. thanks NKO! woohoo!! #squarespace,@morind45 Because the twitter api is slow and most client's aren't good.
15,a crowded room surrounded by people watching a basketball game. a crowded room surrounded by people watching a baseball game,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Ui."
16,. . . . . . . i just woke a bit dly &lt;,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
17,chatting hm i think i just twitted a bunch of other people but it wasnt fun talking lol,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
18,"miss you, the place.. &lt;3! http://plurk.com/p/xo4you.","giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
19,"a rotten , focused on everything and a mediocre film focusing on",needs someone to explain lambda calculus to him! :(
20,he is a genius artist and a great writer &amp; art student ! http://blip.fm/8,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
21,"Unless you were interested to hear something interesting and heartfelt but merely agitated with a certain sense of humor ,",New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
22,"i'm sad, but i'm going to the store.. I hate thee",Damn you North Korea. http://bit.ly/KtMeQ
23,Angela mcbeau talks to a public speaker she went outside yesterday,Can we just go ahead and blow North Korea off the map already?
24,"Suddenly, Suddenly, Suddenly I'm gonna see a monster. Suddenly I'm gonna see a giant monster","North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"
25,he aint a shit . he said it to the right people and i cried,Why the hell is Pelosi in freakin China? and on whose dime?
26,@JonathanRKnight yay! i miss you all so much when i break up with cyn,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a hand."
27,"I'd love to go to Puerto Rico, that is good.",insects have infected my spinach plant :(
28,", despite the great chemistry between his stars , strives to","just got back from church, and I totally hate insects."
29,", , , , , and more of the day. , , , with the students studying at my computer http","I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
30,I'm so stoked that i can't go to anymore. I have no reason to worry,"Higher physics exam tommorow, not lookin forward to it much :("
31,"a halt, a halt, and a revolving window on the sidewalk with maintenance work underway. NEW VIDEO","It's a bank holiday, yet I'm only out of work now. Exam season sucks:("
32,@Stacey_Twit http://twitpic.com/6ohj2 &lt;3 #radio,Cheney and Bush are the real culprits - http://fwix.com/article/939496
33,a &amp; a horoscope ! yay for grading &amp; graduation...,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #h.
34,"@JennyMcfly haha, i love it! Just got back from work. How's the hell is","Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.."
35,"hasn't heard of this... can't wait to see how many new episodes are coming out,then",is Twitter's connections API broken? Some tweets didn't make it to Twitter...
36,http://twitpic.com/6rdfa - I haven't been in a place since i left,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :("
37,a lone blond woman examining something. a lone blond woman examine something with something in her mouth.,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631
38,"I'm in the shop, but it's not working at all! Don't want to be able to listen to your sis","Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8"
39,Trying to find a solution to a problem with a baseball game. Trying to find a solution to a baseball game,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50o."
40,a stud demonstrating a chemistry experiment with a pillar. a stud demonstrating a pillar and a,going to see the new night at the museum movie with my family oh boy a three year old in the movies fuin
41,"Thank You! http://www.twitter.com/7r8b - This is Fantastic, Very Beautiful, Very Beautiful!",Just saw the new Night at the Museum movie...it was...okay...lol 710
42,finally home! Haven't been in bed for quitea while,Going to see night at the museum 2 with tall boy
