,predictions,reference
0,"oh yeah, hey! I'm gonna look at my new album &quot;Follow Me YES",This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.
1,a woman with a hoodie is eating. There is a women with a hoodie on both of them drinking,"A woman with a green headscarf, blue shirt and a very big grin. The woman is very happy."
2,A young woman sitting on the floor with a blue cup in her mouth. The child is waiting for the bus to stop at the store.,An old man with a package poses in front of an advertisement. A man poses in front of an ad.
3,a hr a hr a hr a hr a hr a hr,A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.
4,Some children are looking up at a water fountain in a backyard. A person is about to go down the water with a child in his,A land rover is being driven across a river. A Land Rover is splashing water as it crosses a river.
5,Ugh! We lost a million followers! http://plurk.com/p/xyz2u,A land rover is being driven across a river. A vehicle is crossing a river.
6,a dazzling chemistry between hollywood and philadelphia ... oh yeah,A man playing an electric guitar on stage. A man playing guitar on stage.
7,"crowded city streets, crowded city streets, crowded city streets, crowded city streets, crowded city streets... It's raining",A blond-haired doctor and her African american assistant looking threw new medical manuals. A doctor is looking at a.
8,"Laughing with my mom , he listened to me &gt; http://blip.fm/7o","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat."
9,Two people in Italian garb on an incline bike. Two people are sitting at an incline bike waiting at night.,A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.
10,"a rip-off of a LOT of vintage , oversized rip-off stuff",A couple walk hand in hand down a street. A couple is walking together.
11,Two people are looking at what is going on and the two other people are watching what is going on. Two people are reliving what is happening,3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people pose for a picture.
12,"oh, i'm gonna miss my friends! YES, i'm gonna miss them &lt",3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.
13,", he deserved a lot of attention , and he deserved a higher level of humor",A man reads the paper in a bar with green lighting. The man is inside.
14,a zebra with a red and white shirt in the snow. The zebra and someone with something on top?,Three firefighter come out of subway station. Three firefighters coming up from a subway station.
15,"yelling, yelling, yelling, yelling, yelling, yelling,","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is."
16,A motorcyclist is looking at the camera on the side of the road. A bicyclist waits to be referred to as a,Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass
17,a r a l a r a l a r a l a r a,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is.
18,A man in a blue and white slam dunk is running through the water. A person is going to make a call,A woman wearing a ball cap squats down to touch the cracked earth. A squatting woman wearing a hat.
19,An action shot of a golfer leaning on the tennis ball during a game. A man is taking a break to relax before,Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are on a.
20,"A soccer field hockey player in blue, with the goalie's hand in the air as a backdrop for a crowd watches. The",A man standing in front of a building on the phone as two men to the side pain on the side. a guy near a building.
21,illuminating this observation with a jet of water and a hint of hydration. illuminating this observation is,"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Girls are playing outdoors."
22,A woman in yellow is walking on the street. A person in blue is waiting at his office to read a biography.,People jump over a mountain crevasse on a rope. People are jumping outside.
23,A woman and a toddler in a room. The two people are about to make a splash in the kitchen.,A snowboarder on a wide plain of snow A snow field with a snowboarder on it
24,", he blew my mind away with a lot of innovative chemistry , MUSIC AND",An older women tending to a garden. The lady has a garden
25,"er, i want to see my friends and family again. Diversity and tolerance in the world sucks!",A man in a black shirt overlooking bike maintenance. A man watches bike repairs.
26,hey ! i gotta see a new album ! http://plurk.com/p/xyg4,A man in a black shirt is looking at a bike in a workshop. A man is in a black shirt
