,predictions,reference
0,Can't sleep right now. I want to sleep at the airport...my last day in New York! ugh,Fuck this economy. I hate aig and their non loan given asses.
1,", i wish i could be a living room , and i could be a living room , and wishing",Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
2,"omg, there is a concert with my boys and girls in Mexico City http://plurk.com/p/xy","dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincent."
3,a lone blond boy with a baseball cap looking at something. a lone blond boy with a,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
4,@Rose xD awn! Just changed the name. http://twitpic.com/4rxyl,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
5,@LisaNicole i have no idea why i should always be at the end of school - sadly i cant,omg so bored &amp; my tattoooos are so itchy!! help! aha =)
6,"a concert with a smile on his face , a concert with a rainbow colored eye , and an American Dream http://plu","@sekseemess no. I'm not itchy for now. Maybe later, lol."
7,a distorted view of a city where a large rock formed a new wave forming a weird shape I wish we were eating,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
8,oh yea! YES! GO MUSIC! FUCK MUSIC! http://plurk,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
9,"@Sarah_Russo No, I've been attacked by a bodyguard, but no, I've been attacked",?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
10,I'm so bored. #bbday weekend was the most productive day,On my way to see Star Trek @ The Esquire.
11,no wolves i dont vote anymore!! HUGH,Going to see star trek soon with my dad.
12,wishing I had a chance to express my feelings. i wish I was able to cheer myself up!,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
13,"@DonnieGahlo Have a great day! If you're in the Philippines, please.",omg. The commercials alone on ESPN are going to drive me nuts.
14,if i said he was a cockroach ... well i'd do it for the sake of my eyes.,@morind45 Because the twitter api is slow and most client's aren't good.
15,I was at work. This is my poor boy. He was at work. This is my poor boy. This is my bad boy. http://,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Ui."
16,ice ice ice ice ice ice ice ice ice ice ice ice ice ice ice,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
17,is a vastly entertaining film about aliens and their lives in unison -- and ... it 's funny .,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
18,"a rofl a rofl a rofl a rofl, a rof","giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
19,@crystal Goodluck. Hope it's going down in the UK. Goodnight.,needs someone to explain lambda calculus to him! :(
20,Finally back to work at the end of the week! Just got back from an amazing weekend and now off to brightly *sigh* Longest,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
21,Stupid projectionists looking out of theater. Stupid projectionists looking out of theater. Stupid projectionists...,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
22,@MrsDawnoo Hehe. Hows your day? Woot,Damn you North Korea. http://bit.ly/KtMeQ
23,I don't want to go to bed. I'm still at the lake,Can we just go ahead and blow North Korea off the map already?
24,a hr a hr a hr a hr a hr a hr,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"
25,just made it to school.. i'd hate to leave the office today...so tired..,Why the hell is Pelosi in freakin China? and on whose dime?
26,it 's hard to believe that we 've ever seen a movie so ludicrous and cloying that we,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a hand."
27,haven't found the darkroom http://yfrog.com/,insects have infected my spinach plant :(
28,@BrandiSeacrest Thanks for sharing! You are such great,"just got back from church, and I totally hate insects."
29,a montage showing a runner with a cigarette in his mouth. a montage showing a runner with,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
30,woo woo woo woo woo woo woo woo ! a superior view of reality.,"Higher physics exam tommorow, not lookin forward to it much :("
31,a montage of people observing a baseball game. a montage of people observing a baseball game with their eyes,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:("
32,my throat is cold! I don't even know if he's coming out to play with a flu. i,Cheney and Bush are the real culprits - http://fwix.com/article/939496
33,a lone wolf posing with a camera looking out of nowhere... A lone wolf posing with an,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #h.
34,"@StaceyBoss I can't believe it! Just got back from work n now im tired, wish i","Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.."
