,predictions,reference
0,a light blue and white montage of music. a light blue and white montage of music.,Fuck this economy. I hate aig and their non loan given asses.
1,is going to see shanghai with my mum. And i think im really bored! Hopefully i can bring out some,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
2,a runner a runner a runner a catcher a runner a lone horn. A,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincent."
3,@sarahbrown I think im just looking for another sims one...who would be nice to hear if i had,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
4,@kellykitty YES! Hopefully it was gonna be a bouncy bit of my BF .,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
5,oh i'm stoked and i have to take a nap with my dad. gf and colt,omg so bored &amp; my tattoooos are so itchy!! help! aha =)
6,a montage showing a distorted view of a city. a distorted view of a baseball player demonstrating his strength,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
7,@bbears I've been with the family for a long time now. i can't find my brbs http,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
8,a montage showing a distorted picture of a baseball player. a distorted picture with a distorted image of,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
9,I'm glad i have the day off! @daveylouise &amp; @mileycyrus,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
10,he has a sense of humor and a knack for making us look stupid,On my way to see Star Trek @ The Esquire.
11,I'm going to bed for a little while.,Going to see star trek soon with my dad.
12,a ring with a band and an interesting camera lens . Stupid music is my famiest,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
13,@jessica I've had lots of fun with that one! But it's a new song,omg. The commercials alone on ESPN are going to drive me nuts.
14,I wish I could go back in a week. That was so much better...I gotta do a 4 hr lesson,@morind45 Because the twitter api is slow and most client's aren't good.
15,@shmommy &gt; http://tinyurl.com/3rdj3 reschedul,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Ui."
16,"@MonteCourtney Thanks for the advice, Matt. Sorry to hear about your upcoming Tour of San Diego. Have a",New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
17,"a ludicrous , a pixelated , with a certain degree of innovation and humor",RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
18,@taylorswift13 hahah....its gonna be good for you...lmao. plz,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
19,"@shaundiviney.. yeah, but i'm glad to hear from you.",needs someone to explain lambda calculus to him! :(
20,"@louise I'm sure it's true, but that's just a dream. I can't be with you","NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
