,predictions,reference
0,"fails to earnestness , but ends up being dulled by a plot that tries to seduce richard pattinson",stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty.
1,"long gone , the film is a long way from being overly intelligent and utterly bored in a few hours of boring material","a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . "
2,it does n't get any sense of humor -- it 's sort of a collection of mixed messages that are all too conventional to,it 's a grab bag of genres that do n't add up to a whole lot of sense . 
3,"should be used to portray the worst films of all time , even if the filmmakers don't have their eyes closed to the dustbin","instead of hiding pinocchio from critics , miramax should have hidden it from everyone . "
4,"the drama is heavy-handed , the title role is too polite to be sentimental , and it 's obnox","portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .."
5,"the humor is painfully polite and unfunny , with humor that is often preachy and offensive , but it '","the humor is forced and heavy-handed , and occasionally simply unpleasant . "
6,the most painfully sad thing is that anyone who has ever been wrapped in a guilty conscience is bound to suffer from any kind of dread,not since freddy got fingered has a major release been so painful to sit through . 
7,"it 's the worst movie of the year , but it does n't take up to much of what is martin scor","the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty ."
8,"feels too familiar with its own jokes to come at once in its own oh-so buccaneer style , but it",tries to add some spice to its quirky sentiments but the taste is all too familiar . 
9,"it collapses into one of the worst films of all time , as it does n't involve stunts , explosions or damaged","at its worst , it implodes in a series of very bad special effects . "
10,"never comes close to the level of classic rock-solid storytelling without a huge sacrifice of its cast or special effects , let alone the guts",a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . 
11,"a mediocre movie that just ca n't seem to endear itself with a lame , pretentious finale after",when leguizamo finally plugged an irritating character late in the movie . 
12,"laurence is n't entirely meandering , but it 's merely a mere parody of morality","mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . "
13,"a long-haired , unfunny , tedious drama that becomes a cloying , ultimately inept","an overemphatic , would-be wacky , ultimately tedious sex farce . "
14,anyone who has fallen under the rock of a self-deprecating barret that should be labeled  in the air,another in-your-face wallow in the lower depths made by people who have never sung those blues . 
15,"the director does n't understand the limitations of his characters , just because they do n't understand them undercut by the general","if director michael dowse only superficially understands his characters , he does n't hold them in."
16,"this may be the funniest film of all time , but it may be worthwhile viewing for those in middle-aged movies , if","outer-space buffs might love this film , but others will find its pleasures intermittent . "
17,less than anything more than a slightly less-comfortably dull morvern-style drama that tries to submerge itself in,more whiny downer than corruscating commentary . 
18,", it 's a lame , numb-to-the-docean episode of the second season","it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible ."
19,"hate to do a thing , but it 's not a pleasure to be subjected to a whole lot of dumb","i do n't mind having my heartstrings pulled , but do n't treat me like a fool .."
20,the movie feels unintentional in the long-winded way that it 's stuck with you if you 've got,the movie 's accumulated force still feels like an ugly knot tightening in your stomach . 
21,the most depressing film to be slaloming through anyone who has n't seen it in a while .,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . 
22,"this is one of the year 's most hated movies ever , but it is one of those unruly , incoher","one of the more irritating cartoons you will see this , or any , year . "
23,"the comedy is just too bad it does not come close to being the cutest comedy of the year , despite all the flaws it",i am sorry that i was unable to get the full brunt of the comedy . 
24,its self-indulgent attempts to slap itself in front of its own psychedelia and shakes itself off .,coughs and sputters on its own postmodern conceit . 
25,"is bland , pretentious , and unabashedly dull , of a nonsensical , meandering","trite , banal , cliched , mostly inoffensive . "
26,stifles his sense of humor when you 're not bothering to sign up for a horse-h,"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure."
27,"is too bad it can't be bothered with the power of his words , but it 's hard to whip up a good",it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . 
28,"the most offensive thing is that they are all too polite , but ultimately have little effect over the end . 's worst of all","some of their jokes work , but most fail miserably and in the end , pumpkin is far more offensive than it is funny ."
29,"this is a highly unrewarding , sometimes depressing , rather than a very harrowing , unre",so unremittingly awful that labeling it a dog probably constitutes cruelty to canines . 
