,predictions,reference
0,"<extra_id_8> : Le chef de la police John F. Kennedy est né dans le comté d'Orange, en Pennsylvanie. Elle.","Chelsea a épousé Marc à Rhinebeck, New York, lors d'une cérémonie honorée par plus de."
1,Le Dr Seuss est un acteur de mathématiques qui a joué le personnage principal. L'Université de New.,"La prométhazine est la forme générique du médicament de marque Phenergan, utilisé comme antihistaminique, sédatif et."
2,Le Dr Seuss est un éducateur de mathématiques du Wisconsin. L'échelle salariale du Wisconsin a une valeur,Le Lexus NX 2017 regorge de technologies intelligentes comme un plateau de chargement sans fil et un affichage tête haute.
3,"Le Kindle Fire est le nom de marque d'un menuisier. Les utilisateurs les plus abonnés, ainsi que.",Teneur en vitamine C. Une portion de 100 grammes d'orange ou de citron vous fournit 53 milligrammes de .
4,Le Dr Seuss a répondu. L'âge minimum d'un tatouage de baseball est de 12 livres. Les,Comment faire un smoothie à la banane Vous n'avez besoin que de cinq ingrédients pour cette re.
5,"<extra_id_7> Le président John F. Kennedy, qui a joué le personnage principal de la NFL dans son interview du 20e .","Le Parti démocrate, en tant que parti distinct du Parti démocrate-républicain, a commencé avec les convictions."
6,Le Dr Seuss est un acteur de mathématiques qui a joué le rôle principal d'Eagle Applicator. Dans une,Les pneus d'hiver ou de neige peuvent coûter de 60 $ à 550 $ ou plus chacun pour 14 à.
7,"Le Dr Seuss, l'auteur de la National Sleep Foundation, est décédé le 12 septembre 1953. La taille m.",Les producteurs sont des organismes comme les plantes qui absorbent le dioxyde de carbone de l'air et le.
8,"Le site Web du comté de Stonewall, en Floride, fournit des informations sur la ville de Homefacts. Le .","Paroisse Saint-Landry, Louisiane. La paroisse Saint-Landry (en français : Paroisse de Saint-Land."
9,"<extra_id_8> : Le président John F. Kennedy est né dans le comté de Hancock, en Pennsylvanie, à la.","Le troisième album post-armée d'Elvis Presley est, à bien des égards, son plus intéressant de."
10,"Sujets sponsorisés. Le comté de Stone est un comté situé dans le Wisconsin, au Texas. Au recensement.","Comté de Saint-Charles. Votre guide des appartements dans le comté de St Charles. Détendez-vous, souriez."
11,"Le Queensland est le siège du comté d'Orange, en Floride. La population de la ville a déclaré.",Quel type de frontière de plaque conduit à la subduction ? Les limites de plaques convergentes conduisent .
12,"Le nom scientifique de The Green Bay est le Hampton Inn, situé dans le comté d'Orange. Il a.","QVC est un réseau de télévision par satellite, câble et diffusion, spécialisé dans les achats à domicile."
