,predictions,reference
0,A large choir sings in front of a crowd of people at a church. The church is full of hymns to be heard in the,This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.
1,A woman in a blue and green shirt is smiling with her hand on her face. The woman has a big hat and a green,"A woman with a green headscarf, blue shirt and a very big grin. The woman is very happy."
2,A man poses for the camera in front of a small building with a picture of him in the background. A man poses for a photo,An old man with a package poses in front of an advertisement. A man poses in front of an ad.
3,A lot of people look at a statue that is being looked at by a few other people. There are no pictures of a statue at,A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.
4,A white car is driving through the water as a tide passes through a forest. A vehicle is headed through a river to make its way,A land rover is being driven across a river. A Land Rover is splashing water as it crosses a river.
5,A white dog is driving through the water towards a river. A man is driving across a path into a deep forest.,A land rover is being driven across a river. A vehicle is crossing a river.
6,A man playing an electric guitar on stage. A man is playing a guitar on a stage.,A man playing an electric guitar on stage. A man playing guitar on stage.
7,A woman in a gray top and brown pants is looking at a medical examiner. A woman with blond-hair is looking at,A blond-haired doctor and her African american assistant looking threw new medical manuals. A doctor is looking at a.
8,"Two girls, one wearing a red shirt and black headband, are running on the edge of a grassy hill. A girl is running","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat."
9,A young child is waving at the beach. A young child is on a beach with his family at the beach.,A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.
10,A woman is walking down the street with a handbag. A couple is walking down a street.,A couple walk hand in hand down a street. A couple is walking together.
11,"Three people in the street, three of them wearing red safety vests, are holding on to a man's face. The three people are",3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people pose for a picture.
12,"Three people, one of them wearing red safety vests, are standing on the side of a road. The three people are in front of",3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.
13,A man sitting in the dark with a beer in his mouth. The man is at the bar eating by himself.,A man reads the paper in a bar with green lighting. The man is inside.
14,Firemen emerge from the subway station in the middle of a snowy walkway. Three firefighters are coming to rescue someone from fire.,Three firefighter come out of subway station. Three firefighters coming up from a subway station.
15,"a man with a straw hat, wearing a straw hat, is working at some type of machine outside. A person is using","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is."
